text,overall,sentiment,tweet_length,tokens,clean_text
"Hosted a picnic in the park, basking in the warmth of friendship and sunshine. Simple joys, timeless memories. #ParkPicnic #SeniorJoy ",1,Positive,134,"['hosted', 'a', 'picnic', 'in', 'the', 'park', 'basking', 'in', 'the', 'warmth', 'of', 'friendship', 'and', 'sunshine', 'simple', 'joys', 'timeless', 'memories', 'parkpicnic', 'seniorjoy']",hosted a picnic in the park basking in the warmth of friendship and sunshine simple joys timeless memories parkpicnic seniorjoy 
"Participated in a local theater production, proving that the stage belongs to every age. #TheaterProduction #SeniorActor ",1,Positive,121,"['participated', 'in', 'a', 'local', 'theater', 'production', 'proving', 'that', 'the', 'stage', 'belongs', 'to', 'every', 'age', 'theaterproduction', 'senioractor']",participated in a local theater production proving that the stage belongs to every age theaterproduction senioractor 
"Embarked on a hiking adventure, conquering trails and relishing the beauty of nature. Age is just a number on the mountaintop. #HikingAdventure #SeniorHiker ",1,Positive,157,"['embarked', 'on', 'a', 'hiking', 'adventure', 'conquering', 'trails', 'and', 'relishing', 'the', 'beauty', 'of', 'nature', 'age', 'is', 'just', 'a', 'number', 'on', 'the', 'mountaintop', 'hikingadventure', 'seniorhiker']",embarked on a hiking adventure conquering trails and relishing the beauty of nature age is just a number on the mountaintop hikingadventure seniorhiker 
Hosted a photography exhibition featuring snapshots of a life well-lived. Every photo has a story to tell. #PhotographyExhibition #SeniorPhotographer ,1,Positive,150,"['hosted', 'a', 'photography', 'exhibition', 'featuring', 'snapshots', 'of', 'a', 'life', 'welllived', 'every', 'photo', 'has', 'a', 'story', 'to', 'tell', 'photographyexhibition', 'seniorphotographer']",hosted a photography exhibition featuring snapshots of a life welllived every photo has a story to tell photographyexhibition seniorphotographer 
"Joined a seniors' cycling club, feeling the wind in my hair and the freedom of the open road. #CyclingClub #SeniorCyclist ",1,Positive,122,"['joined', 'a', 'seniors', 'cycling', 'club', 'feeling', 'the', 'wind', 'in', 'my', 'hair', 'and', 'the', 'freedom', 'of', 'the', 'open', 'road', 'cyclingclub', 'seniorcyclist']",joined a seniors cycling club feeling the wind in my hair and the freedom of the open road cyclingclub seniorcyclist 
"Attended a wine tasting event, savoring the richness of flavors that age like fine wine. Cheers to the golden years! #WineTasting #SeniorWineLover ",1,Positive,147,"['attended', 'a', 'wine', 'tasting', 'event', 'savoring', 'the', 'richness', 'of', 'flavors', 'that', 'age', 'like', 'fine', 'wine', 'cheers', 'to', 'the', 'golden', 'years', 'winetasting', 'seniorwinelover']",attended a wine tasting event savoring the richness of flavors that age like fine wine cheers to the golden years winetasting seniorwinelover 
"Started learning ballroom dancing, gliding gracefully across the dance floor. Ageless elegance in every step. #BallroomDancing #SeniorDancer ",1,Positive,141,"['started', 'learning', 'ballroom', 'dancing', 'gliding', 'gracefully', 'across', 'the', 'dance', 'floor', 'ageless', 'elegance', 'in', 'every', 'step', 'ballroomdancing', 'seniordancer']",started learning ballroom dancing gliding gracefully across the dance floor ageless elegance in every step ballroomdancing seniordancer 
"Organized a community painting event, turning blank canvases into a masterpiece of shared creativity. #PaintingEvent #SeniorArtist ",1,Positive,131,"['organized', 'a', 'community', 'painting', 'event', 'turning', 'blank', 'canvases', 'into', 'a', 'masterpiece', 'of', 'shared', 'creativity', 'paintingevent', 'seniorartist']",organized a community painting event turning blank canvases into a masterpiece of shared creativity paintingevent seniorartist 
"Hosted a 'memory lane' evening with old friends, reminiscing about the adventures that shaped our lives. #MemoryLane #SeniorReminiscing ",1,Positive,136,"['hosted', 'a', 'memory', 'lane', 'evening', 'with', 'old', 'friends', 'reminiscing', 'about', 'the', 'adventures', 'that', 'shaped', 'our', 'lives', 'memorylane', 'seniorreminiscing']",hosted a memory lane evening with old friends reminiscing about the adventures that shaped our lives memorylane seniorreminiscing 
"Joined a seniors' astronomy club, stargazing and finding wonder in the vastness of the cosmos. #AstronomyClub #SeniorStargazer ",1,Positive,127,"['joined', 'a', 'seniors', 'astronomy', 'club', 'stargazing', 'and', 'finding', 'wonder', 'in', 'the', 'vastness', 'of', 'the', 'cosmos', 'astronomyclub', 'seniorstargazer']",joined a seniors astronomy club stargazing and finding wonder in the vastness of the cosmos astronomyclub seniorstargazer 
"Attended a local jazz festival, tapping toes to the tunes that have stood the test of time. Music, a lifelong love affair. #JazzFestival #SeniorMusicLover ",1,Positive,155,"['attended', 'a', 'local', 'jazz', 'festival', 'tapping', 'toes', 'to', 'the', 'tunes', 'that', 'have', 'stood', 'the', 'test', 'of', 'time', 'music', 'a', 'lifelong', 'love', 'affair', 'jazzfestival', 'seniormusiclover']",attended a local jazz festival tapping toes to the tunes that have stood the test of time music a lifelong love affair jazzfestival seniormusiclover 
"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog ",1,Positive,134,"['started', 'a', 'blog', 'sharing', 'the', 'wisdom', 'gained', 'through', 'the', 'years', 'proving', 'that', 'every', 'day', 'is', 'a', 'chance', 'to', 'learn', 'and', 'grow', 'seniorwisdom', 'blog']",started a blog sharing the wisdom gained through the years proving that every day is a chance to learn and grow seniorwisdom blog 
"Participated in a charity run, proving that age is no barrier to supporting meaningful causes. #CharityRun #SeniorRunner ",1,Positive,121,"['participated', 'in', 'a', 'charity', 'run', 'proving', 'that', 'age', 'is', 'no', 'barrier', 'to', 'supporting', 'meaningful', 'causes', 'charityrun', 'seniorrunner']",participated in a charity run proving that age is no barrier to supporting meaningful causes charityrun seniorrunner 
"Survived a challenging physics exam. Equations, you won't defeat me! ",1,Positive,69,"['survived', 'a', 'challenging', 'physics', 'exam', 'equations', 'you', 'wont', 'defeat', 'me']",survived a challenging physics exam equations you wont defeat me 
Exploring the world of coding. Debugging is an adventure on its own! #CodingJourney #HighSchoolCoder ,1,Positive,101,"['exploring', 'the', 'world', 'of', 'coding', 'debugging', 'is', 'an', 'adventure', 'on', 'its', 'own', 'codingjourney', 'highschoolcoder']",exploring the world of coding debugging is an adventure on its own codingjourney highschoolcoder 
"Joined the school debate team. Words are my weapons, and I'm ready for battle! ",1,Positive,79,"['joined', 'the', 'school', 'debate', 'team', 'words', 'are', 'my', 'weapons', 'and', 'im', 'ready', 'for', 'battle']",joined the school debate team words are my weapons and im ready for battle 
"Started a photography club at school. Capturing moments, one snapshot at a time! ",1,Positive,81,"['started', 'a', 'photography', 'club', 'at', 'school', 'capturing', 'moments', 'one', 'snapshot', 'at', 'a', 'time']",started a photography club at school capturing moments one snapshot at a time 
"Daydreaming about the upcoming prom. The dress, the dance – it's a fairytale in the making! ",1,Positive,92,"['daydreaming', 'about', 'the', 'upcoming', 'prom', 'the', 'dress', 'the', 'dance', 'its', 'a', 'fairytale', 'in', 'the', 'making']",daydreaming about the upcoming prom the dress the dance  its a fairytale in the making 
Convinced the teacher to have class outdoors. Learning equations with a side of fresh air! ,1,Positive,91,"['convinced', 'the', 'teacher', 'to', 'have', 'class', 'outdoors', 'learning', 'equations', 'with', 'a', 'side', 'of', 'fresh', 'air']",convinced the teacher to have class outdoors learning equations with a side of fresh air 
Trying to master the perfect kickflip on my skateboard. Skating into the weekend like a pro! ,1,Positive,93,"['trying', 'to', 'master', 'the', 'perfect', 'kickflip', 'on', 'my', 'skateboard', 'skating', 'into', 'the', 'weekend', 'like', 'a', 'pro']",trying to master the perfect kickflip on my skateboard skating into the weekend like a pro 
Bonding with friends over the latest K-pop sensation. Fangirling at its finest! ,1,Positive,80,"['bonding', 'with', 'friends', 'over', 'the', 'latest', 'kpop', 'sensation', 'fangirling', 'at', 'its', 'finest']",bonding with friends over the latest kpop sensation fangirling at its finest 
Spent hours perfecting a chemistry experiment. Mixing potions like a wizard! ,1,Positive,77,"['spent', 'hours', 'perfecting', 'a', 'chemistry', 'experiment', 'mixing', 'potions', 'like', 'a', 'wizard']",spent hours perfecting a chemistry experiment mixing potions like a wizard 
Successfully organized a surprise birthday party for a friend. Party planning expert mode: Achieved! ,1,Positive,101,"['successfully', 'organized', 'a', 'surprise', 'birthday', 'party', 'for', 'a', 'friend', 'party', 'planning', 'expert', 'mode', 'achieved']",successfully organized a surprise birthday party for a friend party planning expert mode achieved 
"Joined the drama club to unleash my inner actor. Lights, camera, action! ",1,Positive,73,"['joined', 'the', 'drama', 'club', 'to', 'unleash', 'my', 'inner', 'actor', 'lights', 'camera', 'action']",joined the drama club to unleash my inner actor lights camera action 
Got my hands on the latest fantasy novel. Diving into realms of magic and adventure! ,1,Positive,85,"['got', 'my', 'hands', 'on', 'the', 'latest', 'fantasy', 'novel', 'diving', 'into', 'realms', 'of', 'magic', 'and', 'adventure']",got my hands on the latest fantasy novel diving into realms of magic and adventure 
Mastering the art of the perfect doodle during boring classes. Doodles: A+! ,1,Positive,76,"['mastering', 'the', 'art', 'of', 'the', 'perfect', 'doodle', 'during', 'boring', 'classes', 'doodles', 'a']",mastering the art of the perfect doodle during boring classes doodles a 
Attempting to break the school record for the longest handstand. Wish me luck! ,1,Positive,79,"['attempting', 'to', 'break', 'the', 'school', 'record', 'for', 'the', 'longest', 'handstand', 'wish', 'me', 'luck']",attempting to break the school record for the longest handstand wish me luck 
Hosting a sleepover with friends this weekend. Preparing for a night of laughter and memories! ,1,Positive,95,"['hosting', 'a', 'sleepover', 'with', 'friends', 'this', 'weekend', 'preparing', 'for', 'a', 'night', 'of', 'laughter', 'and', 'memories']",hosting a sleepover with friends this weekend preparing for a night of laughter and memories 
Mastered the art of creating paper airplanes during lecture. Paper planes: Soaring to new heights! ,1,Positive,99,"['mastered', 'the', 'art', 'of', 'creating', 'paper', 'airplanes', 'during', 'lecture', 'paper', 'planes', 'soaring', 'to', 'new', 'heights']",mastered the art of creating paper airplanes during lecture paper planes soaring to new heights 
Trying to set a new trend by juggling textbooks between classes. Academic juggling: A unique skill! ,1,Positive,100,"['trying', 'to', 'set', 'a', 'new', 'trend', 'by', 'juggling', 'textbooks', 'between', 'classes', 'academic', 'juggling', 'a', 'unique', 'skill']",trying to set a new trend by juggling textbooks between classes academic juggling a unique skill 
Planning a surprise scavenger hunt for friends. Anticipating the thrill and excitement! ,1,Positive,88,"['planning', 'a', 'surprise', 'scavenger', 'hunt', 'for', 'friends', 'anticipating', 'the', 'thrill', 'and', 'excitement']",planning a surprise scavenger hunt for friends anticipating the thrill and excitement 
Danced in the rain to celebrate the end of exams. Rain dance: Unexpectedly refreshing! ,1,Positive,87,"['danced', 'in', 'the', 'rain', 'to', 'celebrate', 'the', 'end', 'of', 'exams', 'rain', 'dance', 'unexpectedly', 'refreshing']",danced in the rain to celebrate the end of exams rain dance unexpectedly refreshing 
Perfecting the art of creating origami during a dull lecture. Origami mastery: A+! ,1,Positive,83,"['perfecting', 'the', 'art', 'of', 'creating', 'origami', 'during', 'a', 'dull', 'lecture', 'origami', 'mastery', 'a']",perfecting the art of creating origami during a dull lecture origami mastery a 
Attempting to set a new record for the most consecutive hacky sack kicks. Hacky sack skills: Unleashed! ,1,Positive,104,"['attempting', 'to', 'set', 'a', 'new', 'record', 'for', 'the', 'most', 'consecutive', 'hacky', 'sack', 'kicks', 'hacky', 'sack', 'skills', 'unleashed']",attempting to set a new record for the most consecutive hacky sack kicks hacky sack skills unleashed 
Creating a secret handshake with friends. Friendship level: Expert! ,1,Positive,68,"['creating', 'a', 'secret', 'handshake', 'with', 'friends', 'friendship', 'level', 'expert']",creating a secret handshake with friends friendship level expert 
Embarking on a mission to find the best burger joint in town. Burger connoisseur: Reporting for duty! ,1,Positive,102,"['embarking', 'on', 'a', 'mission', 'to', 'find', 'the', 'best', 'burger', 'joint', 'in', 'town', 'burger', 'connoisseur', 'reporting', 'for', 'duty']",embarking on a mission to find the best burger joint in town burger connoisseur reporting for duty 
Practicing a stand-up comedy routine for the upcoming talent show. Comedy gig: In the making! ,1,Positive,94,"['practicing', 'a', 'standup', 'comedy', 'routine', 'for', 'the', 'upcoming', 'talent', 'show', 'comedy', 'gig', 'in', 'the', 'making']",practicing a standup comedy routine for the upcoming talent show comedy gig in the making 
Attempting to impress the teacher with an elaborate science experiment. Science geek mode: Activated! ,1,Positive,102,"['attempting', 'to', 'impress', 'the', 'teacher', 'with', 'an', 'elaborate', 'science', 'experiment', 'science', 'geek', 'mode', 'activated']",attempting to impress the teacher with an elaborate science experiment science geek mode activated 
Crafting intricate friendship bracelets for the whole squad. Friendship level: Expert weaver! ,1,Positive,94,"['crafting', 'intricate', 'friendship', 'bracelets', 'for', 'the', 'whole', 'squad', 'friendship', 'level', 'expert', 'weaver']",crafting intricate friendship bracelets for the whole squad friendship level expert weaver 
Attempting to beat the record for the most consecutive cartwheels. Cartwheel challenge: Underway! ,1,Positive,98,"['attempting', 'to', 'beat', 'the', 'record', 'for', 'the', 'most', 'consecutive', 'cartwheels', 'cartwheel', 'challenge', 'underway']",attempting to beat the record for the most consecutive cartwheels cartwheel challenge underway 
Organizing a movie marathon with friends. Popcorn and cinematic adventures await! ,1,Positive,82,"['organizing', 'a', 'movie', 'marathon', 'with', 'friends', 'popcorn', 'and', 'cinematic', 'adventures', 'await']",organizing a movie marathon with friends popcorn and cinematic adventures await 
Experimenting with a new hair color. A bold change for a bold semester! ,1,Positive,72,"['experimenting', 'with', 'a', 'new', 'hair', 'color', 'a', 'bold', 'change', 'for', 'a', 'bold', 'semester']",experimenting with a new hair color a bold change for a bold semester 
Building a time capsule to capture memories for the future. Time-traveling emotions! ,1,Positive,85,"['building', 'a', 'time', 'capsule', 'to', 'capture', 'memories', 'for', 'the', 'future', 'timetraveling', 'emotions']",building a time capsule to capture memories for the future timetraveling emotions 
Trying out a new smoothie recipe for a healthy start to the week. Smoothie enthusiast: Level up! ,1,Positive,97,"['trying', 'out', 'a', 'new', 'smoothie', 'recipe', 'for', 'a', 'healthy', 'start', 'to', 'the', 'week', 'smoothie', 'enthusiast', 'level', 'up']",trying out a new smoothie recipe for a healthy start to the week smoothie enthusiast level up 
Reflecting on the challenges of the school year. Feeling a bit overwhelmed with assignments. ,0,Negative,93,"['reflecting', 'on', 'the', 'challenges', 'of', 'the', 'school', 'year', 'feeling', 'a', 'bit', 'overwhelmed', 'with', 'assignments']",reflecting on the challenges of the school year feeling a bit overwhelmed with assignments 
Encountered some mean-spirited comments online. Dealing with online hate is never easy. ,0,Negative,88,"['encountered', 'some', 'meanspirited', 'comments', 'online', 'dealing', 'with', 'online', 'hate', 'is', 'never', 'easy']",encountered some meanspirited comments online dealing with online hate is never easy 
Had a bad day at school. Everything seems to be going wrong. ,0,Negative,61,"['had', 'a', 'bad', 'day', 'at', 'school', 'everything', 'seems', 'to', 'be', 'going', 'wrong']",had a bad day at school everything seems to be going wrong 
Feeling down after not making the sports team. Disappointment lingers. ,0,Negative,71,"['feeling', 'down', 'after', 'not', 'making', 'the', 'sports', 'team', 'disappointment', 'lingers']",feeling down after not making the sports team disappointment lingers 
Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch. ,0,Negative,78,"['witnessed', 'a', 'heated', 'argument', 'in', 'the', 'cafeteria', 'unpleasant', 'atmosphere', 'at', 'lunch']",witnessed a heated argument in the cafeteria unpleasant atmosphere at lunch 
Received a not-so-great grade on a major project. Academic frustration setting in. ,0,Negative,83,"['received', 'a', 'notsogreat', 'grade', 'on', 'a', 'major', 'project', 'academic', 'frustration', 'setting', 'in']",received a notsogreat grade on a major project academic frustration setting in 
Dealing with a personal setback. Sometimes life throws unexpected challenges. ,0,Negative,78,"['dealing', 'with', 'a', 'personal', 'setback', 'sometimes', 'life', 'throws', 'unexpected', 'challenges']",dealing with a personal setback sometimes life throws unexpected challenges 
Feeling lonely on a Saturday night. Sometimes solitude hits harder than expected. ,0,Negative,82,"['feeling', 'lonely', 'on', 'a', 'saturday', 'night', 'sometimes', 'solitude', 'hits', 'harder', 'than', 'expected']",feeling lonely on a saturday night sometimes solitude hits harder than expected 
Experiencing cyberbullying. Hateful messages online are disheartening. ,0,Negative,71,"['experiencing', 'cyberbullying', 'hateful', 'messages', 'online', 'are', 'disheartening']",experiencing cyberbullying hateful messages online are disheartening 
Caught in a torrential rainstorm without an umbrella. Today's weather is just bad luck. ,0,Negative,88,"['caught', 'in', 'a', 'torrential', 'rainstorm', 'without', 'an', 'umbrella', 'todays', 'weather', 'is', 'just', 'bad', 'luck']",caught in a torrential rainstorm without an umbrella todays weather is just bad luck 
Missing an important event due to unforeseen circumstances. A day filled with sadness. ,0,Negative,87,"['missing', 'an', 'important', 'event', 'due', 'to', 'unforeseen', 'circumstances', 'a', 'day', 'filled', 'with', 'sadness']",missing an important event due to unforeseen circumstances a day filled with sadness 
Dealing with unfounded rumors circulating about personal life. Rumors can be hurtful. ,0,Negative,86,"['dealing', 'with', 'unfounded', 'rumors', 'circulating', 'about', 'personal', 'life', 'rumors', 'can', 'be', 'hurtful']",dealing with unfounded rumors circulating about personal life rumors can be hurtful 
Got a flat tire on the way to an important meeting. Talk about a series of bad events! ,0,Negative,87,"['got', 'a', 'flat', 'tire', 'on', 'the', 'way', 'to', 'an', 'important', 'meeting', 'talk', 'about', 'a', 'series', 'of', 'bad', 'events']",got a flat tire on the way to an important meeting talk about a series of bad events 
Feeling a sense of emptiness after a close friend moves away. Farewells are always sad. ,0,Negative,88,"['feeling', 'a', 'sense', 'of', 'emptiness', 'after', 'a', 'close', 'friend', 'moves', 'away', 'farewells', 'are', 'always', 'sad']",feeling a sense of emptiness after a close friend moves away farewells are always sad 
Facing rejection from a dream college. Disheartened but determined to explore other paths. ,0,Negative,91,"['facing', 'rejection', 'from', 'a', 'dream', 'college', 'disheartened', 'but', 'determined', 'to', 'explore', 'other', 'paths']",facing rejection from a dream college disheartened but determined to explore other paths 
Encountering online toxicity during a gaming session. Hateful comments can ruin the fun. ,0,Negative,89,"['encountering', 'online', 'toxicity', 'during', 'a', 'gaming', 'session', 'hateful', 'comments', 'can', 'ruin', 'the', 'fun']",encountering online toxicity during a gaming session hateful comments can ruin the fun 
Having a bad hair day and feeling self-conscious. Bad hair days can affect confidence. ,0,Negative,87,"['having', 'a', 'bad', 'hair', 'day', 'and', 'feeling', 'selfconscious', 'bad', 'hair', 'days', 'can', 'affect', 'confidence']",having a bad hair day and feeling selfconscious bad hair days can affect confidence 
Feeling a sense of despair after a major project failure. Hard work didn't pay off this time. ,0,Negative,94,"['feeling', 'a', 'sense', 'of', 'despair', 'after', 'a', 'major', 'project', 'failure', 'hard', 'work', 'didnt', 'pay', 'off', 'this', 'time']",feeling a sense of despair after a major project failure hard work didnt pay off this time 
Experiencing hate comments for expressing personal opinions. Online negativity prevails. ,0,Negative,89,"['experiencing', 'hate', 'comments', 'for', 'expressing', 'personal', 'opinions', 'online', 'negativity', 'prevails']",experiencing hate comments for expressing personal opinions online negativity prevails 
Having a string of bad luck with constant technology malfunctions. Tech troubles galore! ,0,Negative,89,"['having', 'a', 'string', 'of', 'bad', 'luck', 'with', 'constant', 'technology', 'malfunctions', 'tech', 'troubles', 'galore']",having a string of bad luck with constant technology malfunctions tech troubles galore 
Missing out on a long-anticipated event due to unexpected circumstances. A day filled with sadness. ,0,Negative,100,"['missing', 'out', 'on', 'a', 'longanticipated', 'event', 'due', 'to', 'unexpected', 'circumstances', 'a', 'day', 'filled', 'with', 'sadness']",missing out on a longanticipated event due to unexpected circumstances a day filled with sadness 
Celebrating a friend's birthday with a surprise party. Joyful moments and laughter all around! ,1,Positive,95,"['celebrating', 'a', 'friends', 'birthday', 'with', 'a', 'surprise', 'party', 'joyful', 'moments', 'and', 'laughter', 'all', 'around']",celebrating a friends birthday with a surprise party joyful moments and laughter all around 
Successfully completing a challenging coding project. Excitement for overcoming coding hurdles! ,1,Positive,96,"['successfully', 'completing', 'a', 'challenging', 'coding', 'project', 'excitement', 'for', 'overcoming', 'coding', 'hurdles']",successfully completing a challenging coding project excitement for overcoming coding hurdles 
Attending a school talent show to support classmates. Applauding the diverse talents on display! ,1,Positive,97,"['attending', 'a', 'school', 'talent', 'show', 'to', 'support', 'classmates', 'applauding', 'the', 'diverse', 'talents', 'on', 'display']",attending a school talent show to support classmates applauding the diverse talents on display 
"Exploring a new hiking trail with friends over the weekend. Nature, laughter, and good vibes! ",1,Positive,94,"['exploring', 'a', 'new', 'hiking', 'trail', 'with', 'friends', 'over', 'the', 'weekend', 'nature', 'laughter', 'and', 'good', 'vibes']",exploring a new hiking trail with friends over the weekend nature laughter and good vibes 
Winning a friendly sports competition against rival schools. Victory celebrations in full swing! ,1,Positive,97,"['winning', 'a', 'friendly', 'sports', 'competition', 'against', 'rival', 'schools', 'victory', 'celebrations', 'in', 'full', 'swing']",winning a friendly sports competition against rival schools victory celebrations in full swing 
Receiving a heartfelt letter from a pen pal in another country. Connecting across the globe! ,1,Positive,93,"['receiving', 'a', 'heartfelt', 'letter', 'from', 'a', 'pen', 'pal', 'in', 'another', 'country', 'connecting', 'across', 'the', 'globe']",receiving a heartfelt letter from a pen pal in another country connecting across the globe 
Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! ,1,Positive,99,"['creating', 'a', 'beautiful', 'mural', 'with', 'fellow', 'art', 'enthusiasts', 'the', 'power', 'of', 'collaboration', 'and', 'creativity']",creating a beautiful mural with fellow art enthusiasts the power of collaboration and creativity 
Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes! ,1,Positive,99,"['participating', 'in', 'a', 'schoolwide', 'art', 'exhibition', 'witnessing', 'creativity', 'and', 'spreading', 'positive', 'vibes']",participating in a schoolwide art exhibition witnessing creativity and spreading positive vibes 
Achieving a personal best in a track and field competition. The thrill of victory and self-improvement! ,1,Positive,104,"['achieving', 'a', 'personal', 'best', 'in', 'a', 'track', 'and', 'field', 'competition', 'the', 'thrill', 'of', 'victory', 'and', 'selfimprovement']",achieving a personal best in a track and field competition the thrill of victory and selfimprovement 
Collaborating on a science project that received recognition at a regional fair. Science triumphs and smiles! ,1,Positive,110,"['collaborating', 'on', 'a', 'science', 'project', 'that', 'received', 'recognition', 'at', 'a', 'regional', 'fair', 'science', 'triumphs', 'and', 'smiles']",collaborating on a science project that received recognition at a regional fair science triumphs and smiles 
"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! ",1,Positive,106,"['attending', 'a', 'surprise', 'birthday', 'party', 'organized', 'by', 'friends', 'surrounded', 'by', 'love', 'laughter', 'and', 'good', 'company']",attending a surprise birthday party organized by friends surrounded by love laughter and good company 
Successfully fundraising for a school charity initiative. The joy of giving back to the community! ,1,Positive,99,"['successfully', 'fundraising', 'for', 'a', 'school', 'charity', 'initiative', 'the', 'joy', 'of', 'giving', 'back', 'to', 'the', 'community']",successfully fundraising for a school charity initiative the joy of giving back to the community 
"Participating in a multicultural festival, celebrating diversity with music, dance, and delicious food! ",1,Positive,104,"['participating', 'in', 'a', 'multicultural', 'festival', 'celebrating', 'diversity', 'with', 'music', 'dance', 'and', 'delicious', 'food']",participating in a multicultural festival celebrating diversity with music dance and delicious food 
"Organizing a virtual talent show during challenging times, bringing smiles to classmates' faces! ",1,Positive,97,"['organizing', 'a', 'virtual', 'talent', 'show', 'during', 'challenging', 'times', 'bringing', 'smiles', 'to', 'classmates', 'faces']",organizing a virtual talent show during challenging times bringing smiles to classmates faces 
